protein	is_enhancer	is_promoter	is_intermediate	X-graph-coord	Y-graph-coord	degree	expression_log2FoldChange	expression_padj	SNP-binding	Betweenness_global	Degree_global	Betweenness_in_cluster	Betweenness_out_cluster	Betweenness_enrichment	Degree_in_cluster	Degree_out_cluster	Degree_enrichment	Betweenness_enrichment_pval	Degree_enrichment_pval	fisher_test_OR	fisher_test_pval
CDK4	False	False	True	0.16836008429527283	0.9359345436096191	5	-0.0100528045118121	0.907098007401767	False	0.0029338612545201	0.0130414531904984	0.0012401128559111	0.0016320195826542	0.759863955734102	0.0081556657126939	0.0093662564722822	0.870749774664952	0.934	0.999	7.71095446470358	1.14318590102815e-52
SUFU	False	False	True	-0.6348251700401306	-0.8328008651733398	2	1.85333426540892	2.04074131531051e-30	False	0.0005165747726658	0.0018630647414997	0.0037220963547288	0.0062823015378536	0.592473368605683	0.0057939664152079	0.0094603592618867	0.612446763893028	0.997	1.0	5.24133251408123	1.06224898556241e-26
PCGF6	False	False	True	-0.7399719953536987	0.5552247166633606	3	-1.37048438962691	2.2771923703498698e-12	False	0.0001070782639856	0.0041918956683744	1.26735203003412e-05	4.28823653242089e-05	0.295541540316724	0.0045558373557723	0.0073943843556028	0.616121253194035	1.0	1.0	5.54060633605532	2.85990313007262e-35
RPS6KA5	False	False	True	0.6610174775123596	0.6160053610801697	4	0.251762846504598	0.240929290785027	False	9.6768448263832e-05	0.0023288309268747	0.0001361831426806	0.0003478554148638	0.391493525360228	0.0077002822581577	0.0098095246622217	0.784980161965743	1.0	0.997	3.12147786171456	6.550145315549091e-15
PSMA3	False	False	True	-0.8806936144828796	-0.5637933611869812	5	-0.874307867845267	6.4547294903690594e-18	False	0.0035466696002153	0.0135072193758733	0.0048972238744231	0.0052671447679663	0.929768231206975	0.0110585031712301	0.011983777826779	0.922789401729291	0.786	0.983	40.3992253383358	1.57033005771672e-69
ATF3	False	False	True	0.596315860748291	-0.020909098908305168	10	-0.363412288333933	0.0004899812137875	False	0.0004674105540392	0.0065207265952491	0.0024220529430042	0.0030044074580881	0.806166599168763	0.0272763917451689	0.0250170446142024	1.09031231169823	0.923	0.062	1.18917431388829	0.187947377074127
NFKBIA	False	False	True	-0.303085595369339	0.9453585743904114	4	-1.22942522331767	1.4125258594414601e-25	False	0.0025957048165258	0.0142058686539357	0.000186025495368	0.0004880140269419	0.381188828800201	0.0082656581692299	0.011522135628802	0.717372059791436	1.0	1.0	5.51028019952009	2.96841556230944e-39
BIRC2	False	False	True	0.5624966025352478	-0.8158548474311829	4	-1.08822133539866	1.51513545167765e-25	False	0.0007465215778096	0.0095482068001863	5.74318012492544e-05	0.0002024406638684	0.283696961627176	0.0058546012433358	0.0088647377828014	0.660437046958621	1.0	1.0	6.11008963020067	1.48822391581449e-44
MDM2	False	False	True	0.1587573140859604	-0.11147642135620117	22	-0.217018650949934	0.0039017356820614	False	0.0173119577858483	0.0430833721471821	0.0081440370897698	0.0073858122753099	1.10265963799196	0.0581115072073277	0.0424460487245025	1.36906753286984	0.083	0.0	inf	2.86814470812599e-08
SMURF2	False	False	True	-0.1235537976026535	-0.9582213759422302	3	-0.44593958052429	0.0037395655463114	False	0.0008873624295311	0.0086166744294364	3.3180197317896e-05	0.0001400299161786	0.236950776115304	0.0058902586122392	0.0089433659243441	0.658617645981111	1.0	1.0	10.8212876960613	4.10343209518661e-68
USP7	False	False	True	-0.48866158723831177	-0.9173007607460022	7	-0.174645813742894	0.0252019502700565	False	0.0099592596464776	0.0249184909175594	0.0021264777655789	0.0022598098777321	0.940998526704841	0.0188484758880912	0.0156838149964829	1.20177876953522	0.773	0.0	2.28718607546766	7.831824735074019e-11
EP300	False	False	True	0.09706592559814453	-0.01064383052289486	68	-0.535208213230849	1.82065626800474e-10	False	0.0190185693756178	0.0461108523521192	0.112052889276284	0.101110450986552	1.10822262370472	0.20497449415353	0.149052677596658	1.37518156304577	0.0	0.0	inf	1.0
CDKN2A	False	False	True	0.926030158996582	0.45452192425727844	3	-2.85543057976442	1.64551894364618e-155	False	0.0020022850899635	0.0125756870051234	4.32127396286964e-05	0.0002141759432056	0.201762807633352	0.005801216484694	0.0091311127230079	0.635324156066603	1.0	1.0	9.6178766516307	6.18912086389117e-63
DYNLL2	False	False	True	-0.26552504301071167	-0.8937433958053589	2	1.44091740006823	4.11333321568606e-113	False	0.0003614021654833	0.0044247787610619	0.0001755657507819	0.0010062800759933	0.174470065511929	0.0029315816093627	0.0064160846178273	0.456911307126036	1.0	1.0	6.34142598145295	2.65305345805087e-24
EHMT2	False	False	True	-0.6926437616348267	0.7088994979858398	9	1.46064101365412	1.2975839627867001e-52	False	0.0019701651802055	0.0097810898928737	0.0025344793775532	0.0036359725492898	0.697056796550424	0.0162948399571307	0.0162161829407785	1.0048505259616	1.0	0.434	6.59728633526713	3.0873789128095295e-36
HSPA5	False	False	True	0.957654595375061	0.013029363006353378	2	-0.837378325906183	1.87144176924763e-67	False	0.0058691416544358	0.0183977643223102	3.60985064995887e-05	0.0002207119811075	0.163554811652914	0.0036864497661713	0.0070142823957522	0.525563351769783	0.997	0.999	3.57623762033552	1.28806960280449e-06
EPC1	False	False	True	-0.583767831325531	0.7620903849601746	2	0.0020735792054063	0.990544384696952	False	0.0004028766901714	0.0032603632976245	0.0002548016655086	0.0006983050186689	0.364885914745864	0.0056575039121557	0.0086333336580947	0.655309308803461	1.0	1.0	7.73745817063445	1.26713822112422e-55
MAPK14	False	False	True	0.6624114513397217	0.15110333263874054	9	-0.881950089831384	1.8517874165084702e-15	False	0.0045581292260622	0.0170004657661854	0.0029272560829754	0.0028189751524578	1.03841145262428	0.0261985514374362	0.0206568287297654	1.26827557996284	0.271	0.0	7.61200308801152	3.8703477204896296e-26
HDAC1	False	False	True	-0.13733859360218048	0.03494502604007721	50	1.02236849067477	1.10322455714058e-41	False	0.0256934636358854	0.0540288775034932	0.0419789342474552	0.040239817506036	1.04321880289736	0.114380909802178	0.0853478143698033	1.34017385971453	0.061	0.0	inf	0.0041849325700416
REL	False	False	True	-0.8792783617973328	0.13347411155700684	8	-2.46080604113086	7.93735410976565e-55	False	0.0085834027514548	0.0211923614345598	0.0003355270467645	0.0005684083159896	0.590292290464336	0.0094200852012122	0.0117867244028462	0.799211458523414	0.997	1.0	3.45502362108999	2.7862406023700598e-22
APP	False	False	True	-0.13774098455905914	-0.3160370886325836	14	-1.04508529532299	3.44863339135956e-95	False	0.0547141813937033	0.0689333954354914	0.022928258162889	0.0216972431923185	1.05673600833337	0.0378797229480543	0.0306082910789776	1.23756412438429	0.083	0.0	52.3337780672183	7.10113062367604e-19
ATXN1	False	False	True	-0.1464315801858902	0.8118912577629089	10	0.113497046646652	0.421519597223793	False	0.013661934576142	0.0286446204005589	0.0067326876888493	0.0074520995073382	0.903461860945308	0.0257087914679704	0.0204073214872907	1.25978274434405	0.858	0.0	4.2676232387336	2.56557784349526e-17
CBX5	False	False	True	-0.14295977354049683	0.5397290587425232	5	-0.289029419421958	3.55198843084902e-05	False	0.0096778623564986	0.0195621797857476	0.0208843576855324	0.0175836503878632	1.18771456579616	0.0155969769659253	0.0151339814159689	1.03059310945551	0.0	0.175	20.8227949084722	2.09767836882767e-50
RARA	False	False	True	-0.3458443880081177	0.6632363796234131	13	-0.134025346348399	0.470907401425808	False	0.0026740765613072	0.0142058686539357	0.0060263427866099	0.0065270130874582	0.923292585116715	0.0419412929267252	0.0325021172669579	1.29041725442802	0.851	0.0	25.9658839160155	2.3332564727867102e-17
CEBPD	False	False	True	0.7233828902244568	-0.6709603071212769	3	-1.31700649745662	1.2755748215574602e-15	False	7.00353880812638e-05	0.0025617140195621	2.06650993167177e-05	9.61341042793405e-05	0.214961167752396	0.0049825934754383	0.0079620331996174	0.625794109433979	1.0	1.0	4.9642683941055	6.25076233558848e-33
ANXA1	False	False	True	-0.6679239273071289	0.7896128296852112	4	-10.9794021899589	6.20431419178146e-88	False	0.0004527362060374	0.0041918956683744	0.0020869346452772	0.003004951775173	0.694498548202857	0.0042450147071589	0.0069440303499995	0.611318570512761	0.808	1.0	4.23116430047843	8.62630267158266e-13
EED	False	False	True	0.34199580550193787	0.9063875079154968	4	-0.659156004503179	0.0003311424878824	False	0.0143823329709244	0.0468095016301816	0.0004471212296623	0.0008891196579951	0.502880827841059	0.0118126550655208	0.0129078583106261	0.915152210479127	1.0	0.977	12.2915836731168	1.15528201178633e-52
STUB1	False	False	True	-0.1205502450466156	0.9037449955940247	10	1.40899921486815	4.87807754956418e-75	False	0.0043225537171561	0.0179319981369353	0.0046950008201837	0.0048089369638278	0.976307415859034	0.0266214635778818	0.0212060271431274	1.2553725126448	0.524	0.0	1.59492560989153	0.0002057188186429
SCAND1	False	False	True	-0.7675398588180542	-0.574023425579071	4	2.33321446566681	6.9549944541029094e-96	False	0.0005136735063245	0.0016301816488123	0.0049213245172412	0.0083909327396062	0.586505060875053	0.0068558774956439	0.0094607518385692	0.724665186512362	1.0	1.0	2.6714129601771	3.96706842367907e-11
PRKAA2	False	False	True	0.9444534182548523	-0.3060404062271118	5	0.802705270898406	0.000509391035475	False	0.0014004189075656	0.0088495575221238	0.0007711272369779	0.0009471557733107	0.814150384453125	0.0162692140907878	0.015294010682267	1.06376374574208	0.913	0.026	15.8835855557785	7.13801157488232e-42
IKBKG	False	False	True	0.1640244871377945	-0.9476642608642578	3	2.09688311282042	5.2145232161372e-34	False	0.0098578500417294	0.0260829063809967	0.0002899661820761	0.0005887600080251	0.492503189964908	0.0100083006457525	0.0122658555093431	0.815948030541291	1.0	1.0	5.48875989328813	2.86746043164657e-39
