edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ENHA_NR2F2;HIPK3	3.97148539474709	1.13298841977119e-13	False	((1.1, 0.16754966887417222), array([-0.17238283,  0.91942084]))	False
ENHA_NRF1;SIRT7	5.63660639746459	1.7025815485861601e-19	False	((1.1333333333333335, 0.2258278145695365), array([ 0.20664185, -0.9218263 ]))	False
ENHA_E2F4;TFDP2	4.93564279310118	7.32602622590024e-33	False	((1.1666666666666667, -0.8960264900662253), array([-0.97533888, -0.11917193]))	False
ENHA_E2F6;TFDP2	6.2965513231059	1.10536260876164e-45	False	((1.1, -0.8814569536423842), array([-0.97533888, -0.11917193]))	False
ENHA_REST;KDM5C	8.94678429051152	1.32976437533856e-50	False	((1.1333333333333335, 0.4006622516556291), array([-0.19317985,  0.97563612]))	False
ENHA_MEF2C;HDAC7	1.86781300051309	0.0011043674088244	False	((1.1, -0.13841059602649008), array([0.29250601, 0.76000351]))	False
ENHA_MEF2A;HDAC7	1.63025884198126	0.0064742148166417	False	((1.1666666666666667, -0.15298013245033115), array([0.29250601, 0.76000351]))	False
ENHA_RUNX2;HDAC7	2.02328836955047	0.0003943552503347	False	((1.1333333333333335, 0.4880794701986755), array([0.29250601, 0.76000351]))	False
ENHA_E2F1;XIAP	4.69129222317956	1.46350248904939e-05	False	((1.1333333333333335, -0.9105960264900663), array([0.72962373, 0.5974018 ]))	False
ENHA_NFIB;NFIC	4.2341413193812	1.55520692832832e-27	False	((1.1333333333333335, 0.05099337748344368), array([ 0.82710117, -0.33844864]))	False
ENHA_CREB1;NFIC	5.28023165002829	1.1329383147233599e-33	False	((1.1, -0.9251655629139074), array([ 0.82710117, -0.33844864]))	False
ENHA_RBPJ;NFIC	5.31273477522109	3.33409468348488e-34	False	((1.1333333333333335, 0.356953642384106), array([ 0.82710117, -0.33844864]))	False
ENHA_NFIB;NFIX	4.04144781319298	1.28881182870055e-26	False	((1.1333333333333335, 0.05099337748344368), array([-0.56582993, -0.68893385]))	False
ENHA_CREB1;NFIX	5.0711221447174	5.90961161631438e-33	False	((1.1, -0.9251655629139074), array([-0.56582993, -0.68893385]))	False
ENHA_FOS;NFIX	5.59060796705417	2.8601969196008697e-33	False	((1.1666666666666667, -0.7649006622516556), array([-0.56582993, -0.68893385]))	False
ENHA_RBPJ;NFIX	5.1348080772339	8.20007986859677e-34	False	((1.1333333333333335, 0.356953642384106), array([-0.56582993, -0.68893385]))	False
ENHA_NFIB;NFIA	3.57560477759022	4.0845347827055904e-20	False	((1.1333333333333335, 0.05099337748344368), array([ 0.62893677, -0.61403233]))	False
ENHA_CREB1;NFIA	5.14885547780313	3.69208121585973e-33	False	((1.1, -0.9251655629139074), array([ 0.62893677, -0.61403233]))	False
ENHA_RBPJ;NFIA	5.05910581372247	3.9814557017428405e-31	False	((1.1333333333333335, 0.356953642384106), array([ 0.62893677, -0.61403233]))	False
CARM1;ENHA_E2F1	4.94288360721425	3.42014456588722e-18	False	(array([0.95326585, 0.31364504]), (1.1333333333333335, -0.9105960264900663))	False
ENHA_MEF2D;MAPK7	2.01768308372424	0.0001441413818277	False	((1.1333333333333335, -0.12384105960264902), array([-0.41880009,  0.84581167]))	False
ENHA_MEF2C;MAPK7	1.94053871929435	0.0002802596043621	False	((1.1, -0.13841059602649008), array([-0.41880009,  0.84581167]))	False
DDX3X;ENHA_NFKB2	19.2631980191911	3.0039135669032596e-70	False	(array([0.69681644, 0.7425943 ]), (1.1666666666666667, 0.10927152317880795))	False
DDX3X;ENHA_SP1	8.87838543681518	1.08800081251569e-53	False	(array([0.69681644, 0.7425943 ]), (1.1666666666666667, 0.5463576158940397))	False
E2F3;ENHA_TFE3	6.36939060847148	5.59250979342749e-33	False	(array([-0.52944332,  0.81913376]), (1.1333333333333335, 0.8377483443708609))	False
ATAD2;ENHA_MYC	8.24718570574797	7.766847093734471e-54	False	(array([0.28494188, 0.86275029]), (1.1666666666666667, -0.021854304635761546))	False
ATAD2;ENHA_E2F4	6.30274019581837	9.252913961130859e-42	False	(array([0.28494188, 0.86275029]), (1.1666666666666667, -0.8960264900662253))	False
ATAD2;ENHA_E2F1	7.49340611627278	4.83878617792617e-51	False	(array([0.28494188, 0.86275029]), (1.1333333333333335, -0.9105960264900663))	False
BAZ1A;ENHA_MAX	6.55974461809781	3.33913376956063e-47	False	(array([ 0.74358988, -0.43230101]), (1.1, -0.1821192052980133))	False
ENHA_MYC;TAF12	7.42755177737293	3.6377874465886804e-09	False	((1.1666666666666667, -0.021854304635761546), array([-0.14096788, -0.96908051]))	False
CALCOCO2;ENHA_MXI1	5.21364825823628	1.01810072344014e-10	False	(array([ 0.90708482, -0.48173043]), (1.1333333333333335, -0.036423841059602724))	False
CCNK;ENHA_BHLHE40	2.48806148017033	0.0971265958562237	False	(array([0.82634813, 0.36428186]), (1.1666666666666667, -1.0271523178807949))	False
ENHA_GLI3;SPOP	4.22136009732544	6.58433574258044e-19	False	((1.1, -0.6629139072847683), array([ 0.29536414, -0.85586524]))	False
ACTB;ENHA_ESR2	3.4158564484208	1.16294348901878e-07	False	(array([0.73095119, 0.72266883]), (1.1666666666666667, -0.8086092715231789))	True
ENHA_MYC;EPC1	7.68153413487986	1.03641349812713e-51	False	((1.1666666666666667, -0.021854304635761546), array([-0.92745256, -0.09544837]))	False
CTR9;ENHA_VEZF1	7.3737444988248	1.69514673898476e-38	False	(array([ 0.46307248, -0.83585429]), (1.1666666666666667, 0.9397350993377485))	False
CTR9;ENHA_MYC	6.36751583388878	5.02075330309005e-31	False	(array([ 0.46307248, -0.83585429]), (1.1666666666666667, -0.021854304635761546))	False
CTR9;ENHA_NFIC	6.87589954200461	6.9740423121671e-38	False	(array([ 0.46307248, -0.83585429]), (1.1666666666666667, 0.06556291390728486))	False
DNMT1;ENHA_MYC	5.14040680505576	9.05295878274693e-09	False	(array([-0.49439627, -0.86101043]), (1.1666666666666667, -0.021854304635761546))	False
ENHA_MYC;ZNF281	5.14040680505576	9.05295878274693e-09	False	((1.1666666666666667, -0.021854304635761546), array([ 0.26444167, -0.79041082]))	False
ENHA_IRF7;IRAK1	5.55109252424113	5.58940590088951e-21	False	((1.1333333333333335, -0.4735099337748345), array([-0.94383442,  0.1259879 ]))	False
ENHA_MYC;IRAK1	4.60559072717033	3.873881902419751e-09	False	((1.1666666666666667, -0.021854304635761546), array([-0.94383442,  0.1259879 ]))	False
ENHA_JUNB;TDG	4.16591597957469	1.20642225220238e-18	False	((1.1666666666666667, -0.41523178807947025), array([0.219469  , 0.85822755]))	False
ENHA_MYC;TDG	3.91129177814644	6.713472182415861e-10	False	((1.1666666666666667, -0.021854304635761546), array([0.219469  , 0.85822755]))	False
CHTF18;ENHA_MYC	5.14040680505576	9.05295878274693e-09	False	(array([-0.85845524,  0.46364024]), (1.1666666666666667, -0.021854304635761546))	False
EED;ENHA_YY1	4.40728834670162	9.356844374550919e-22	False	(array([-0.92059505, -0.04003789]), (1.1, 0.9543046357615896))	False
EED;ENHA_TFAP2A	6.86178756382632	3.97421235453278e-48	False	(array([-0.92059505, -0.04003789]), (1.1333333333333335, 0.7940397350993378))	False
ENHA_BHLHE40;STK19	6.75910096321101	5.9952493544915694e-40	False	((1.1666666666666667, -1.0271523178807949), array([-0.27871427,  0.9272635 ]))	False
ENHA_SP3;STK19	4.38100147767207	1.12284826208683e-16	False	((1.1333333333333335, 0.5754966887417219), array([-0.27871427,  0.9272635 ]))	False
EIF3A;ENHA_JUN	3.83166053516712	1.61526117220351e-07	False	(array([0.56999451, 0.85160482]), (1.1333333333333335, -0.4298013245033113))	False
EIF3A;ENHA_TFE3	3.63549115912627	5.42130324673393e-05	False	(array([0.56999451, 0.85160482]), (1.1333333333333335, 0.8377483443708609))	False
ENHA_BHLHE40;TXNL4B	5.08623465173462	3.9073015636604e-18	False	((1.1666666666666667, -1.0271523178807949), array([0.7003324 , 0.70514125]))	False
