edge	fisher_test_edge_OR	fisher_test_edge_pvalue	SNP-path	XYs-edge	druggable
ENHA_THAP1;MORF4L2	7.79300113867413	3.72330507827625e-54	False	((1.1, 0.7625766871165647), array([-0.33409008,  0.94696027]))	False
ENHA_MZF1;SCAND1	3.72618137514754	1.36741930075158e-14	False	((1.1333333333333335, -0.07423312883435584), array([ 0.07276773, -0.7129336 ]))	False
ENHA_ZNF449;SCAND1	3.59851119230436	8.164780130453259e-11	False	((1.1666666666666667, 1.0730061349693254), array([ 0.07276773, -0.7129336 ]))	False
ENHA_ZNF24;SCAND1	3.68940143539131	2.9836134005678e-14	False	((1.1666666666666667, 1.032515337423313), array([ 0.07276773, -0.7129336 ]))	False
PROM_ZNF449;SCAND1	2.51253896036198	2.5378129977914e-08	False	((-1.1333333333333335, 1.1), array([ 0.07276773, -0.7129336 ]))	False
ENHA_THAP1;PPIG	8.64180777434928	4.3611340148253004e-61	False	((1.1, 0.7625766871165647), array([ 0.3117317 , -0.87953532]))	False
ENHA_SP1;PPIG	6.67790865300097	9.37498130023489e-49	False	((1.1333333333333335, 0.492638036809816), array([ 0.3117317 , -0.87953532]))	False
ENHA_MYC;TCF12	6.66998390939279	8.87085830010277e-39	False	((1.1, -0.08773006134969319), array([-0.58812153,  0.75645828]))	False
ENHA_TCF3;TCF12	4.83637689287354	9.69640341479258e-29	False	((1.1666666666666667, 0.6276073619631903), array([-0.58812153,  0.75645828]))	False
CDK4;ENHA_E2F4	4.93190911305658	1.5434335990195599e-22	False	(array([-0.87826014,  0.3235521 ]), (1.1333333333333335, -0.8840490797546012))	False
CDK4;ENHA_MYC	7.73354751831334	2.85137399208645e-49	False	(array([-0.87826014,  0.3235521 ]), (1.1, -0.08773006134969319))	False
CDK4;ENHA_MZF1	8.51886288095102	6.81788158367348e-59	False	(array([-0.87826014,  0.3235521 ]), (1.1333333333333335, -0.07423312883435584))	False
ECSIT;ENHA_MYC	6.09748016171757	2.56427660801581e-34	False	(array([-0.41667885, -0.8956126 ]), (1.1, -0.08773006134969319))	False
ECSIT;ENHA_NFKB1	4.50328416075639	1.05096259888304e-25	False	(array([-0.41667885, -0.8956126 ]), (1.1, -0.006748466257668673))	False
ENHA_MYC;TXN	5.59600458302144	1.34718117996949e-31	False	((1.1, -0.08773006134969319), array([0.57499593, 0.76340348]))	False
ENHA_NFKB1;TXN	4.50328416075639	1.05096259888304e-25	False	((1.1, -0.006748466257668673), array([0.57499593, 0.76340348]))	False
ENHA_SREBF2;PIAS3	4.29395861054325	2.07380144671971e-17	False	((1.1333333333333335, 0.5736196319018407), array([0.6356495 , 0.81029516]))	False
ENHA_MITF;PIAS3	4.03432574717074	1.2467655313587e-12	False	((1.1333333333333335, -0.15521472392638036), array([0.6356495 , 0.81029516]))	False
CTR9;ENHA_MYC	6.36751583388878	5.02075330309005e-31	False	(array([0.3264699 , 0.93373215]), (1.1, -0.08773006134969319))	False
CTR9;ENHA_VEZF1	7.3737444988248	1.69514673898476e-38	False	(array([0.3264699 , 0.93373215]), (1.1666666666666667, 0.8705521472392639))	False
CTR9;ENHA_NFIC	6.87589954200461	6.9740423121671e-38	False	(array([0.3264699 , 0.93373215]), (1.1333333333333335, -0.033742331288343586))	False
CDK9;ENHA_MYC	6.34891024974029	1.34827107343781e-38	False	(array([-0.83082527, -0.20091859]), (1.1, -0.08773006134969319))	False
CDK9;ENHA_TP53	6.54865209550764	4.90350671513468e-46	False	(array([-0.83082527, -0.20091859]), (1.1, 0.8030674846625769))	False
CDK9;ENHA_STAT3	6.08811417267738	8.30988107703933e-29	False	(array([-0.83082527, -0.20091859]), (1.1333333333333335, 0.614110429447853))	False
CDK9;ENHA_NFKB1	5.76934923940292	3.90962083653706e-42	False	(array([-0.83082527, -0.20091859]), (1.1, -0.006748466257668673))	False
DNMT1;ENHA_MYC	5.14040680505576	9.05295878274693e-09	False	(array([0.84224629, 0.16416173]), (1.1, -0.08773006134969319))	False
DNMT1;ENHA_RUNX1	3.98900508639399	6.56113027280424e-05	False	(array([0.84224629, 0.16416173]), (1.1666666666666667, 0.3846625766871168))	False
DNMT1;ENHA_STAT3	6.70111063184919	5.44680745828782e-27	False	(array([0.84224629, 0.16416173]), (1.1333333333333335, 0.614110429447853))	False
ENHA_MYC;ZNF281	5.14040680505576	9.05295878274693e-09	False	((1.1, -0.08773006134969319), array([0.7408517 , 0.72153318]))	False
ENHA_IRF7;IRAK1	5.55109252424113	5.58940590088951e-21	False	((1.1333333333333335, -0.4386503067484663), array([-0.60358238, -0.77803087]))	False
ENHA_MYC;IRAK1	4.60559072717033	3.873881902419751e-09	False	((1.1, -0.08773006134969319), array([-0.60358238, -0.77803087]))	False
ENHA_MYC;GTF2I	4.96336538159781	1.34997712823631e-10	False	((1.1, -0.08773006134969319), array([-0.94212276,  0.08699241]))	False
ENHA_SRF;GTF2I	6.09914742163252	5.591749486942209e-26	False	((1.1666666666666667, 0.5871165644171781), array([-0.94212276,  0.08699241]))	False
CHTF18;ENHA_MYC	5.14040680505576	9.05295878274693e-09	False	(array([ 0.53533822, -0.87251174]), (1.1, -0.08773006134969319))	False
ENHA_MYC;PLK1	5.35902227275391	8.86613017214124e-31	False	((1.1, -0.08773006134969319), array([-0.86200684, -0.36541659]))	False
ENHA_REST;PLK1	4.94434654218075	1.11153437613539e-35	False	((1.1333333333333335, 0.33067484662576696), array([-0.86200684, -0.36541659]))	False
ENHA_TP53;PLK1	4.57664353877357	9.797257380857221e-31	False	((1.1, 0.8030674846625769), array([-0.86200684, -0.36541659]))	False
ENHA_SREBF1;PLK1	6.0668522529963	1.06338328190955e-43	False	((1.1, 0.5601226993865032), array([-0.86200684, -0.36541659]))	False
